date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:03	788/788	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264266d77-314%22	https://dashui.codescandy.com/dashuipro/assets/js/vendors/tooltip.js	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/js/vendors/tooltip.js	(from https://dashui.codescandy.com/dashuipro/pages/ecommerce-products.html)
11:00:04	82401/82401	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264266d77-141e1%22	https://dashui.codescandy.com/dashuipro/assets/libs/datatables/media/js/jquery.dataTables.min.js	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/libs/datatables/media/js/jquery.dataTables.min.js	(from https://dashui.codescandy.com/dashuipro/pages/ecommerce-products.html)
11:00:04	4480/4480	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264266d77-1180%22	https://dashui.codescandy.com/dashuipro/assets/libs/datatables.net-bs5/js/dataTables.bootstrap5.min.js	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/libs/datatables.net-bs5/js/dataTables.bootstrap5.min.js	(from https://dashui.codescandy.com/dashuipro/pages/ecommerce-products.html)
11:00:04	17180/17180	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264266d77-431c%22	https://dashui.codescandy.com/dashuipro/assets/libs/datatables.net-responsive/js/dataTables.responsive.min.js	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/libs/datatables.net-responsive/js/dataTables.responsive.min.js	(from https://dashui.codescandy.com/dashuipro/pages/ecommerce-products.html)
11:00:05	72/72	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264266d77-48%22	https://dashui.codescandy.com/dashuipro/assets/js/vendors/datatable.js	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/js/vendors/datatable.js	(from https://dashui.codescandy.com/dashuipro/pages/ecommerce-products.html)
11:00:06	102536/102536	---M--	200	added ('OK')	font/woff2	etag:%2264266d77-19088%22	https://dashui.codescandy.com/dashuipro/assets/libs/bootstrap-icons/font/fonts/bootstrap-icons.woff2?524846017b983fc8ded9325d94ed40f3	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/libs/bootstrap-icons/font/fonts/bootstrap-icons44df.woff2	(from https://dashui.codescandy.com/dashuipro/assets/libs/bootstrap-icons/font/bootstrap-icons.css)
11:00:06	71426/71426	---M--	200	added ('OK')	image/jpeg	etag:%2264266d77-11702%22	https://dashui.codescandy.com/dashuipro/assets/images/avatar/avatar-3.jpg	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/images/avatar/avatar-3.jpg	(from https://dashui.codescandy.com/dashuipro/pages/dashboard-analytics.html)
11:00:06	32716/32716	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264266d78-7fcc%22	https://dashui.codescandy.com/dashuipro/assets/libs/jsvectormap/dist/js/jsvectormap.min.js	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/libs/jsvectormap/dist/js/jsvectormap.min.js	(from https://dashui.codescandy.com/dashuipro/pages/dashboard-analytics.html)
11:00:07	102233/102233	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264266d78-18f59%22	https://dashui.codescandy.com/dashuipro/assets/libs/jsvectormap/dist/maps/world.js	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/libs/jsvectormap/dist/maps/world.js	(from https://dashui.codescandy.com/dashuipro/pages/dashboard-analytics.html)
11:00:07	137124/137124	---M--	200	added ('OK')	font/woff	etag:%2264266d77-217a4%22	https://dashui.codescandy.com/dashuipro/assets/libs/bootstrap-icons/font/fonts/bootstrap-icons.woff?524846017b983fc8ded9325d94ed40f3	D:/project/casetemplate/fe%20admin/dashui.codescandy.com/dashuipro/assets/libs/bootstrap-icons/font/fonts/bootstrap-icons44df.woff	(from https://dashui.codescandy.com/dashuipro/assets/libs/bootstrap-icons/font/bootstrap-icons.css)
